City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Kapaa,US,84.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
2,Harper,LR,75.58,scattered clouds,4.375,-7.7169,Screensaver
5,Itarema,BR,78.03,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
12,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
14,Ixtapa,MX,87.03,broken clouds,20.7,-105.2,hotel la terminal
24,Mayo,US,80.94,clear sky,38.8876,-76.5119,Resorts Resource Group International
34,Atuona,PF,77.07,scattered clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
35,Singaraja,ID,80.65,few clouds,-8.112,115.0882,Puri Bagus Lovina Resort
37,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
40,Naze,JP,80.06,light rain,28.3667,129.4833,Shishime Hotel
45,Hilo,US,88.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
49,Fort Nelson,CA,76.71,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
51,Kudahuvadhoo,MV,81.59,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
53,Marrakesh,MA,80.67,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
54,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
64,Sao Filipe,CV,78.39,broken clouds,14.8961,-24.4956,Hotel Xaguate
66,Goderich,CA,77.92,overcast clouds,43.7501,-81.7165,Harmony Inn
72,Butaritari,KI,82.24,clear sky,3.0707,172.7902,Isles Sunset Lodge
75,Digha,IN,82.0,overcast clouds,21.6833,87.55,Khoniker Atithi
76,Bubaque,GW,78.55,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
85,Mitchell,US,80.58,clear sky,43.7094,-98.0298,Kelly Inn & Suites
87,Kralendijk,BQ,84.18,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
90,Vidisha,IN,76.17,broken clouds,23.5333,77.8167,STARiHOTELS Railway station Vidisha
96,Santo Antonio Do Ica,BR,75.27,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
100,Smithers,CA,75.0,overcast clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
103,Gunjur,GM,75.27,moderate rain,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
105,Sirawai,PH,82.31,overcast clouds,7.5854,122.1407,Santo Niño Beach
112,Gillette,US,86.11,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
114,Hithadhoo,MV,80.58,broken clouds,-0.6,73.0833,Scoop Guest House
116,Palu,ID,81.75,broken clouds,-0.8917,119.8707,Hotel Santika Palu
117,Hobyo,SO,75.49,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
118,San Pedro,PH,79.36,light rain,14.35,121.0167,Palines Apartment and Guesthouse
122,Nieves,PH,80.11,overcast clouds,15.3274,120.9485,Bill's Inn
124,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
126,Makakilo City,US,88.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
127,Kavieng,PG,85.12,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
132,Upata,VE,77.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
134,Faanui,PF,78.6,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
135,Brunswick,US,79.02,broken clouds,41.2381,-81.8418,Quality Inn Brunswick Cleveland South
140,Dwarka,IN,80.73,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
145,Lamar,US,84.36,clear sky,33.6668,-95.5836,Kings Inn Paris TX
153,Limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
162,Fort Saint James,CA,79.99,overcast clouds,54.4333,-124.25,The View Hotel
165,Sur,OM,81.75,clear sky,22.5667,59.5289,Sur Plaza Hotel
168,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
169,Touros,BR,75.56,clear sky,-5.1989,-35.4608,INN NEW HORIZON
175,Oussouye,SN,80.69,light rain,12.485,-16.5469,Auberge du Routard
180,Najran,SA,77.65,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
181,Guinticgan,PH,82.29,overcast clouds,11.5641,123.1236,Jeanette Resort Carles Iloilo B&B
183,Hasaki,JP,75.6,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
189,Fountain,US,91.35,scattered clouds,38.6822,-104.7008,Colorado Springs KOA Holiday
191,Aswan,EG,88.54,few clouds,24.0934,32.907,Nuba Nile
197,Motril,ES,82.04,overcast clouds,36.7507,-3.5179,Elba Motril Hotel Beach & Business Hotel
201,Mangan,IN,75.49,overcast clouds,27.5167,88.5333,Hotel Mout View
204,Empalme,MX,87.85,overcast clouds,27.9667,-110.8167,Casa de la mary
205,Osmena,PH,82.63,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
210,Nishihara,JP,80.65,mist,26.1842,127.7558,Minshuku Agaihama
213,Pathein,MM,78.85,overcast clouds,16.7833,94.7333,Pathein Hotel
217,Namatanai,PG,84.87,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
218,Muisne,EC,75.16,overcast clouds,0.6,-80.0333,Quinta Samay
224,San Patricio,US,89.55,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
226,Labuhan,ID,78.98,scattered clouds,-6.8844,112.2051,DoubleFAG
228,Acapulco,MX,85.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
233,Traverse City,US,80.71,broken clouds,44.7631,-85.6206,Bayshore Resort
234,Katsuura,JP,77.9,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
238,Mirpur Sakro,PK,79.97,broken clouds,24.5474,67.6277,Ali muhammad’s house
248,Guiratinga,BR,79.63,clear sky,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
251,Lamin,GM,75.31,moderate rain,13.3522,-16.4339,Jerreh Camp Lodge
253,Ca Mau,VN,81.18,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
255,Kozan,TR,77.2,clear sky,37.4552,35.8157,Ortaklar Kiz Ogrenci Yurdu
259,Anloga,GH,75.52,broken clouds,5.7947,0.8973,Pin Drop Hotel
262,Shimoda,JP,77.36,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
264,Petatlan,MX,89.4,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
265,Vanimo,PG,83.46,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
269,Kirakira,SB,80.83,overcast clouds,-10.4544,161.9205,SanBiz Lodge
270,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
273,Ambulu,ID,76.62,few clouds,-8.345,113.6058,Hotel Ambulu Jember
278,Siuna,NI,76.06,overcast clouds,13.7332,-84.7773,hotel los chinitos
281,Seydi,TM,76.55,clear sky,39.4816,62.9137,Seydi oteli
284,Wanning,CN,79.75,overcast clouds,18.8003,110.3967,Paradise Hotel
285,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
286,Tamluk,IN,80.01,light rain,22.3,87.9167,Green Valley Resort
288,Wewak,PG,83.64,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
290,Nador,MA,82.65,clear sky,35.174,-2.9287,Hôtel La Giralda
291,Veraval,IN,79.79,clear sky,20.9,70.3667,Lords Inn Somnath
293,Cockburn Town,TC,82.96,clear sky,21.4612,-71.1419,Osprey Beach Hotel
