City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Kapaa,US,22.0752,-159.319,84.52,66,40,13.8,scattered clouds
1,Rikitea,PF,-23.1203,-134.9692,70.52,69,58,20.78,broken clouds
2,Harper,LR,4.375,-7.7169,75.58,87,42,7.74,scattered clouds
3,Linqing,CN,36.8456,115.7117,67.73,65,96,6.46,overcast clouds
4,Tuatapere,NZ,-46.1333,167.6833,44.53,88,99,12.68,overcast clouds
5,Itarema,BR,-2.9248,-39.9167,78.03,81,44,18.37,scattered clouds
6,Bulzesti,RO,44.5333,23.8833,58.59,93,100,6.91,light rain
7,Berlevag,NO,70.8578,29.0864,42.8,93,100,16.11,light intensity drizzle
8,East London,ZA,-33.0153,27.9116,63.64,80,100,15.61,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,43.52,96,99,8.72,light rain
10,Tshane,BW,-24.0196,21.8684,59.54,19,0,14.14,clear sky
11,Stefanesti,RO,44.8667,24.9333,61.48,90,100,11.23,overcast clouds
12,Nhulunbuy,AU,-12.2333,136.7667,75.81,78,75,18.41,broken clouds
13,Ambilobe,MG,-13.2,49.05,66.43,78,57,4.43,broken clouds
14,Ixtapa,MX,20.7,-105.2,87.03,70,75,6.91,broken clouds
15,Rumonge,BI,-3.9736,29.4386,72.86,68,51,2.15,broken clouds
16,Hermanus,ZA,-34.4187,19.2345,54.66,75,31,10.92,scattered clouds
17,Livingston,GB,55.9029,-3.5226,61.48,88,100,10.92,overcast clouds
18,Ushuaia,AR,-54.8,-68.3,38.86,93,100,4.61,light intensity drizzle
19,Vila Velha,BR,-20.3297,-40.2925,71.55,82,75,4.61,broken clouds
20,Bredasdorp,ZA,-34.5322,20.0403,49.23,81,21,6.11,few clouds
21,Albany,US,42.6001,-73.9662,69.35,63,24,2.57,few clouds
22,Iqaluit,CA,63.7506,-68.5145,40.69,93,100,5.01,overcast clouds
23,Punta Arenas,CL,-53.15,-70.9167,44.62,87,75,20.71,broken clouds
24,Mayo,US,38.8876,-76.5119,80.94,71,0,16.11,clear sky
25,Codrington,AU,-38.2667,141.9667,52.92,83,73,11.59,broken clouds
26,Mantua,IT,45.1667,10.7833,72.55,78,11,5.01,few clouds
27,Palmer,US,42.1584,-72.3287,68.41,72,0,3.76,clear sky
28,Cape Town,ZA,-33.9258,18.4232,56.12,81,99,5.99,light rain
29,Busselton,AU,-33.65,115.3333,56.37,68,100,15.61,light rain
30,Port Alfred,ZA,-33.5906,26.891,61.16,81,96,15.12,overcast clouds
31,Arraial Do Cabo,BR,-22.9661,-42.0278,69.58,75,0,29.1,clear sky
32,North Bend,US,43.4065,-124.2243,65.91,89,100,0.0,overcast clouds
33,Walvis Bay,NA,-22.9575,14.5053,54.09,84,0,12.62,clear sky
34,Atuona,PF,-9.8,-139.0333,77.07,74,28,23.38,scattered clouds
35,Singaraja,ID,-8.112,115.0882,80.65,71,14,3.22,few clouds
36,Mehamn,NO,71.0357,27.8492,42.75,93,75,13.8,drizzle
37,Vaini,TO,-21.2,-175.2,75.36,78,20,13.8,few clouds
38,Port Elizabeth,ZA,-33.918,25.5701,58.68,78,75,9.64,broken clouds
39,Bambous Virieux,MU,-20.3428,57.7575,65.21,67,0,12.75,clear sky
40,Naze,JP,28.3667,129.4833,80.06,81,98,22.06,light rain
41,Lebu,CL,-37.6167,-73.65,49.12,86,13,18.14,few clouds
42,Yellowknife,CA,62.456,-114.3525,61.38,55,68,6.51,broken clouds
43,Upernavik,GL,72.7868,-56.1549,44.85,94,100,29.24,light rain
44,Kodiak,US,57.79,-152.4072,54.91,76,100,4.61,overcast clouds
45,Hilo,US,19.7297,-155.09,88.29,69,0,10.36,clear sky
